"","day","month","year","return","price.close"
"2",3,1,1928,0.566251415628547,17.76
"3",4,1,1928,-0.225230855855857,17.719999
"4",5,1,1928,-0.959367999964344,17.549999
"5",6,1,1928,0.62678636050065,17.66
"6",9,1,1928,-0.906002265005663,17.5
"7",10,1,1928,-0.742851428571437,17.370001
"8",11,1,1928,-0.115146798206846,17.35
"9",12,1,1928,0.691636887608069,17.469999
"10",13,1,1928,0.629656590134876,17.58
"11",16,1,1928,-1.64959613196814,17.290001
"12",17,1,1928,0.057825329217734,17.299999
"13",18,1,1928,-0.231208105850169,17.26
"14",19,1,1928,0.695243337195828,17.379999
"15",20,1,1928,0.575379779941293,17.48
"16",23,1,1928,0.915326086956517,17.639999
"17",24,1,1928,0.396825419321171,17.709999
"18",25,1,1928,-1.0728346173255,17.52
"19",26,1,1928,0.627848173515993,17.629999
"20",27,1,1928,0.340340348289284,17.690001
"21",30,1,1928,-1.1305878388588,17.49
"22",31,1,1928,0.457404230989147,17.57
"23",1,2,1928,-0.227655093910083,17.530001
"24",2,2,1928,0.570439214464408,17.629999
"25",3,2,1928,-1.30458884314175,17.4
"26",6,2,1928,0.287362068965527,17.450001
"27",7,2,1928,-0.0573065869738435,17.440001
"28",8,2,1928,0.286691497322733,17.49
"29",9,2,1928,0.343047455688972,17.549999
"30",10,2,1928,-0.0569686642147359,17.540001
"31",14,2,1928,-0.57012539508978,17.440001
"32",15,2,1928,-0.229363518958515,17.4
"33",16,2,1928,-0.287356321839064,17.35
"34",17,2,1928,-1.78673775216139,17.040001
"35",20,2,1928,-0.528168983088674,16.950001
"36",21,2,1928,0.943952746669455,17.110001
"37",23,2,1928,0.116879011287031,17.129999
"38",24,2,1928,0.291891435603693,17.18
"39",27,2,1928,-0.407444703143185,17.110001
"40",28,2,1928,0.292220906357631,17.16
"41",29,2,1928,0.582750582750591,17.26
"42",1,3,1928,0.231743916570093,17.299999
"43",2,3,1928,0,17.299999
"44",5,3,1928,1.56069951217917,17.57
"45",6,3,1928,0.569151963574282,17.67
"46",7,3,1928,-0.509337860781004,17.58
"47",8,3,1928,0.341291240045513,17.639999
"48",9,3,1928,1.64399669183655,17.93
"49",12,3,1928,0.390407138873398,18
"50",13,3,1928,-0.444444444444435,17.92
"51",14,3,1928,0.0558035714285603,17.93
"52",15,3,1928,0.780814277746796,18.07
"53",16,3,1928,1.05146651909243,18.26
"54",19,3,1928,0.547650602409632,18.360001
"55",20,3,1928,0.544651386456893,18.459999
"56",21,3,1928,1.02925791057734,18.65
"57",22,3,1928,-0.268096514745293,18.6
"58",23,3,1928,0.967747311827942,18.780001
"59",26,3,1928,1.43768895432967,19.049999
"60",27,3,1928,-0.577417353145273,18.940001
"61",28,3,1928,-0.264002097993549,18.889999
"62",29,3,1928,0.317638979229172,18.950001
"63",30,3,1928,1.74142471021505,19.280001
"64",2,4,1928,-1.91909222411347,18.91
"65",3,4,1928,0.581702802749865,19.02
"66",4,4,1928,-0.157728706624612,18.99
"67",5,4,1928,1.26382306477094,19.23
"68",9,4,1928,0.208008320332809,19.27
"69",10,4,1928,-0.882200311364806,19.1
"70",11,4,1928,1.78010994764396,19.440001
"71",12,4,1928,-0.154326123748649,19.41
"72",13,4,1928,1.64863472436888,19.73
"73",16,4,1928,-0.253421186011154,19.68
"74",17,4,1928,-0.813008130081302,19.52
"75",18,4,1928,0,19.52
"76",19,4,1928,0.563519467213125,19.629999
"77",20,4,1928,-1.47732559741853,19.34
"78",23,4,1928,-0.982419855222344,19.15
"79",24,4,1928,0.522193211488258,19.25
"80",25,4,1928,0.415584415584407,19.33
"81",26,4,1928,0.724257630625986,19.469999
"82",27,4,1928,1.07858762601887,19.68
"83",30,4,1928,0.355691056910571,19.75
"84",1,5,1928,0.151903797468347,19.780001
"85",2,5,1928,0.252775518059881,19.83
"86",3,5,1928,0.504286434694914,19.93
"87",4,5,1928,1.55544405418966,20.24
"88",7,5,1928,0.839920948616609,20.41
"89",8,5,1928,-0.685938265556103,20.27
"90",9,5,1928,-0.14800197335965,20.24
"91",10,5,1928,-0.148226284584973,20.209999
"92",11,5,1928,0.742216761119091,20.360001
"93",14,5,1928,0.392927289148946,20.440001
"94",15,5,1928,-0.244628168071025,20.389999
"95",16,5,1928,-1.66748414259363,20.049999
"96",17,5,1928,0.349137174520551,20.120001
"97",18,5,1928,-0.994040706061579,19.92
"98",21,5,1928,-1.45582831325301,19.629999
"99",22,5,1928,-1.37543562788771,19.360001
"100",23,5,1928,2.01445754057554,19.75
"101",24,5,1928,0.607599999999992,19.870001
"102",25,5,1928,0.150976338652424,19.9
"103",28,5,1928,-1.65829145728642,19.57
"104",29,5,1928,1.27746550843127,19.82
"105",31,5,1928,0.908173562058525,20
"106",1,6,1928,0.350000000000001,20.07
"107",4,6,1928,-1.34529646238167,19.799999
"108",5,6,1928,0.252530315784368,19.85
"109",6,6,1928,-0.95717884130983,19.66
"110",7,6,1928,-0.254318413021362,19.610001
"111",8,6,1928,-1.22386531239852,19.370001
"112",11,6,1928,-3.56221458119697,18.68
"113",12,6,1928,-1.82012847965739,18.34
"114",13,6,1928,2.9989040348964,18.889999
"115",14,6,1928,0.847009044309638,19.049999
"116",15,6,1928,-1.62729142400481,18.74
"117",18,6,1928,-1.81430096051227,18.4
"118",19,6,1928,-0.326086956521732,18.34
"119",20,6,1928,1.25408942202836,18.57
"120",21,6,1928,-0.0538556812062414,18.559999
"121",22,6,1928,-0.107747850632972,18.540001
"122",25,6,1928,-0.377572795168667,18.469999
"123",26,6,1928,1.13698436042145,18.68
"124",27,6,1928,0.963602783725914,18.860001
"125",28,6,1928,1.11346229515046,19.07
"126",29,6,1928,0.367063450445722,19.139999
"127",2,7,1928,-0.83594048254652,18.98
"128",3,7,1928,1.63330347734457,19.290001
"129",5,7,1928,0.984961068690459,19.48
"130",6,7,1928,-0.462017453798773,19.389999
"131",9,7,1928,0.361010848943315,19.459999
"132",10,7,1928,-0.154157253553816,19.43
"133",11,7,1928,-2.47040144107051,18.950001
"134",12,7,1928,-0.738796794786444,18.809999
"135",13,7,1928,0.797448208264118,18.959999
"136",16,7,1928,-1.37129754068025,18.700001
"137",17,7,1928,0.534748634505417,18.799999
"138",18,7,1928,1.22341495869228,19.030001
"139",19,7,1928,-0.210199673662656,18.99
"140",20,7,1928,0.21064244339126,19.030001
"141",23,7,1928,0.472937442304916,19.120001
"142",24,7,1928,-0.156908987609355,19.09
"143",25,7,1928,0.576223153483502,19.200001
"144",26,7,1928,0.208328114149568,19.24
"145",27,7,1928,0.935550935550953,19.42
"146",30,7,1928,0.257461380020596,19.469999
"147",31,7,1928,-0.205439147685635,19.43
"148",1,8,1928,-0.0514668039114669,19.42
"149",2,8,1928,-0.463439752832149,19.33
"150",3,8,1928,0.155204345576835,19.360001
"151",6,8,1928,1.13635841237817,19.58
